:START_ID,has,:END_ID,:TYPE
c10002,has,m672,HAS
c10002,has,m673,HAS
c10002,has,m674,HAS
c10002,has,m675,HAS
c10002,has,m676,HAS
c10002,has,m677,HAS
c10002,has,m678,HAS
c10002,has,m679,HAS
c10002,has,m680,HAS
c10002,has,m681,HAS
c10002,has,m682,HAS
c10002,has,m683,HAS
c10002,has,m684,HAS
c10002,has,m685,HAS
c10002,has,m686,HAS
c10002,has,m687,HAS
c10002,has,m688,HAS
c10002,has,m689,HAS
c10002,has,m690,HAS
c10002,has,m691,HAS
c10002,has,m692,HAS
c10002,has,m693,HAS
c10002,has,m694,HAS
c10002,has,m695,HAS
c10002,has,m696,HAS
c10002,has,m697,HAS
c10002,has,m698,HAS
c10002,has,m699,HAS
c10002,has,m700,HAS
c10002,has,m701,HAS
c10002,has,m702,HAS
c10002,has,m703,HAS
c10002,has,m704,HAS
c10002,has,m705,HAS
c10002,has,m706,HAS
c10002,has,m707,HAS
c10002,has,m708,HAS
c10002,has,m709,HAS
c10002,has,m710,HAS
c10002,has,m711,HAS
c10002,has,m712,HAS
c10002,has,m713,HAS
c10002,has,m714,HAS
c10002,has,m715,HAS
c10002,has,m716,HAS
c10002,has,m717,HAS
c10002,has,m718,HAS
c10002,has,m719,HAS
c10002,has,m720,HAS
c10002,has,m721,HAS
c10002,has,m722,HAS
c10002,has,m723,HAS
c10002,has,m724,HAS
c10002,has,m725,HAS
c10002,has,m726,HAS
c10002,has,m727,HAS
c10002,has,m728,HAS
c10002,has,m729,HAS
c10002,has,m730,HAS
c10002,has,m731,HAS
c10002,has,m732,HAS
c10002,has,m733,HAS
c10002,has,m734,HAS
c10002,has,m735,HAS
c10002,has,m736,HAS
c10002,has,m737,HAS
c10002,has,m738,HAS
c10002,has,m739,HAS
c10002,has,m740,HAS
c10002,has,m741,HAS
c10002,has,m742,HAS
c10002,has,m743,HAS
c10002,has,m744,HAS
c10002,has,m745,HAS
c10002,has,m746,HAS
c10002,has,m747,HAS
c10002,has,m748,HAS
c10002,has,m749,HAS
c10002,has,m750,HAS
c10002,has,m751,HAS
c10002,has,m752,HAS
c10002,has,m753,HAS
c10002,has,m754,HAS
c10002,has,m755,HAS
c10002,has,m756,HAS
c10002,has,m757,HAS
c10002,has,m758,HAS
c10002,has,m759,HAS
c10002,has,m760,HAS
c10002,has,m761,HAS
c10002,has,m762,HAS
c10002,has,m763,HAS
c10002,has,m764,HAS
c10002,has,m765,HAS
c10002,has,m766,HAS
c10002,has,m767,HAS
c10002,has,m768,HAS
c10002,has,m769,HAS
c10002,has,m770,HAS
c10002,has,m771,HAS
c10002,has,m772,HAS
c10002,has,m773,HAS
c10002,has,m774,HAS
c10002,has,m775,HAS
c10002,has,m776,HAS
c10002,has,m777,HAS
c10002,has,m778,HAS
c10002,has,m779,HAS
c10002,has,m780,HAS
c10002,has,m781,HAS
c10002,has,m782,HAS
c10002,has,m783,HAS
c10002,has,m784,HAS
c10002,has,m785,HAS
c10002,has,m786,HAS
c10002,has,m787,HAS
c10002,has,m788,HAS
c10002,has,m789,HAS
c10002,has,m790,HAS
c10002,has,m791,HAS
c10002,has,m792,HAS
c10002,has,m793,HAS
c10002,has,m794,HAS
c10002,has,m795,HAS
c10002,has,m796,HAS
c10002,has,m797,HAS
c10002,has,m798,HAS
c10002,has,m799,HAS
c10002,has,m800,HAS
c10002,has,m801,HAS
c10002,has,m802,HAS
c10002,has,m803,HAS
c10002,has,m804,HAS
c10002,has,m805,HAS
c10002,has,m806,HAS
c10002,has,m807,HAS
c10002,has,m808,HAS
c10002,has,m809,HAS
c10002,has,m810,HAS
c10002,has,m811,HAS
c10002,has,m812,HAS
c10002,has,m813,HAS
c10002,has,m814,HAS
c10002,has,m815,HAS
c10002,has,m816,HAS
c10002,has,m817,HAS
c10002,has,m818,HAS
c10002,has,m819,HAS
c10002,has,m820,HAS
c10002,has,m821,HAS
c10002,has,m822,HAS
c10002,has,m823,HAS
c10002,has,m824,HAS
c10002,has,m825,HAS
c10002,has,m826,HAS
c10002,has,m827,HAS
c10002,has,m828,HAS
c10002,has,m829,HAS
c10002,has,m830,HAS
c10002,has,m831,HAS
c10002,has,m832,HAS
c10002,has,m833,HAS
c10002,has,m834,HAS
c10002,has,m835,HAS
c10002,has,m836,HAS
c10002,has,m837,HAS
c10002,has,m838,HAS
c10002,has,m839,HAS
c10002,has,m840,HAS
c10002,has,m841,HAS
c10002,has,m842,HAS
c10002,has,m843,HAS
c10002,has,m844,HAS
c10002,has,m845,HAS
c10002,has,m846,HAS
c10002,has,m847,HAS
c10002,has,m848,HAS
c10002,has,m849,HAS
